CodigoFactura,TipoFactura,Sucursal,Cliente,Producto,Precio,Cantidad,FechaHora,MedioPago,Empleado,DetallesPago
632-43-2167,A,CP2,0,Té Dharamsala,18.0,10,2023-05-26 02:25:09,Efectivo,6314,
632-43-2167,A,CP2,0,Cordones blancos zapatilla deportiva,1.2,4,2023-05-26 02:25:09,Efectivo,6314,
362-46-1818,A,SJ1,36081725,Gel WC flor de cerezo Bosque Verde,0.99,2,2025-02-05 00:25:11,Tarjeta de credito,6187,5141-5458-6093-1106
521-47-1865,C,RM2,0,Esponja anatómica para bebés Deliplus,0.8,2,2024-10-03 20:04:14,Tarjeta de credito,9251,5545-8885-3856-8824
521-47-1865,C,RM2,0,Crema facial antiedad Deliplus colágeno y silanol,4.0,4,2024-10-03 20:04:14,Tarjeta de credito,9251,5545-8885-3856-8824
521-47-1865,C,RM2,0,Gel de baño avena Deliplus piel sensible,1.35,6,2024-10-03 20:04:14,Tarjeta de credito,9251,5545-8885-3856-8824
521-47-1865,C,RM2,0,Snacks gato rellenos con pollo y malta Compy,0.99,3,2024-10-03 20:04:14,Tarjeta de credito,9251,5545-8885-3856-8824
521-47-1865,C,RM2,0,Pan maxi hamburguesa Hacendado,0.79,3,2024-10-03 20:04:14,Tarjeta de credito,9251,5545-8885-3856-8824
836-10-7198,B,CP2,37201246,Caldo de cocido Hacendado,0.9,7,2024-07-29 06:57:01,Efectivo,9251,
836-10-7198,B,CP2,37201246,Champú Intense & Gold Deliplus cabello rubio,1.8,2,2024-07-29 06:57:01,Efectivo,9251,
836-10-7198,B,CP2,37201246,Galletas Relieve Hacendado,0.95,5,2024-07-29 06:57:01,Efectivo,9251,
836-10-7198,B,CP2,37201246,Pechuga de pavo al horno de leña Campofrío lonchas,1.55,8,2024-07-29 06:57:01,Efectivo,9251,
847-58-1555,B,RM2,0,Coloración permanente Garnier 6.42 rubio terracota,3.65,10,2023-11-10 03:04:45,Tarjeta de credito,6024,4523-9972-1701-544
847-58-1555,B,RM2,0,Eau de toilette hombre Capítulo Marino,6.5,3,2023-11-10 03:04:45,Tarjeta de credito,6024,4523-9972-1701-544
847-58-1555,B,RM2,0,Filetes lomo de cerdo familiar,5.84,7,2023-11-10 03:04:45,Tarjeta de credito,6024,4523-9972-1701-544
847-58-1555,B,RM2,0,Sombra de ojos larga duración Deliplus 02,4.0,7,2023-11-10 03:04:45,Tarjeta de credito,6024,4523-9972-1701-544
138-23-5632,C,LD1,35742546,Maquinilla depilación Hydro silk bikini Wilkinson,9.95,7,2023-06-11 06:22:10,Billetera Electronica,6187,6e05f6c521a1897cd56231ba3360057258aa3125cf14da3b1e368fd3972b4d2b
138-23-5632,C,LD1,35742546,Bebida láctea de fresa Densia Forte 0% materia grasa,1.52,9,2023-06-11 06:22:10,Billetera Electronica,6187,6e05f6c521a1897cd56231ba3360057258aa3125cf14da3b1e368fd3972b4d2b
138-23-5632,C,LD1,35742546,Verdura para paella Hacendado ultracongelada,0.75,1,2023-06-11 06:22:10,Billetera Electronica,6187,6e05f6c521a1897cd56231ba3360057258aa3125cf14da3b1e368fd3972b4d2b
138-23-5632,C,LD1,35742546,Jamón cocido Noel lonchas,2.3,8,2023-06-11 06:22:10,Billetera Electronica,6187,6e05f6c521a1897cd56231ba3360057258aa3125cf14da3b1e368fd3972b4d2b
138-23-5632,C,LD1,35742546,Fluido solar facial antiedad Sisbela FPS 50+,5.0,1,2023-06-11 06:22:10,Billetera Electronica,6187,6e05f6c521a1897cd56231ba3360057258aa3125cf14da3b1e368fd3972b4d2b
